epoch,G,D,homo,cycle,id
0,1562.5461826911194,1562.5461826911194,0.2572470775536952,0.2558363879899119,0.1962088799203625
1,1091.2956067216653,1091.2956067216653,0.5847962129033726,0.5849343359860365,0.17535507722318672
2,157.655857026902,157.655857026902,14.556388331484422,14.556253834415982,0.2801101146958517
3,236.6535528474875,236.6535528474875,0.10691526526214859,0.10653863732964722,0.157979035899666
4,1670.696407006377,1670.696407006377,1.6760560806470972,1.6756375822445473,0.17755030467700023
5,215.35447502066899,215.35447502066899,6.521136034481831,6.519773080013354,0.18927661057863612
6,175.05593891258198,175.05593891258198,0.47523615649291623,0.4748077997345354,0.16530236291998043
7,196.9028346107813,196.9028346107813,1.226290332609114,1.2262685967603193,0.21602655635751927
8,164.90801131322314,164.90801131322314,0.11044943947460122,0.11024435239352126,0.16388174993304588
9,90.13177599979721,90.13177599979721,8.46872506645193,8.469070477524223,0.19794214082734882
10,810.4749396182718,810.4749396182718,5.413296844099314,5.413772547209276,0.20700912057855095
11,79.22200041378858,79.22200041378858,0.16138363765266237,0.16138985962141475,0.16642372832866809
12,11641.1981964666,11641.1981964666,400.0224388648178,400.0199473378432,0.45108604768067
13,241361.66310273705,241361.66310273705,39981.12081738156,39981.12664445599,1.985502658075352
14,596.8517541760576,596.8517541760576,34.67687786615077,34.67589858776112,0.26170683187686156
15,31.982919861385493,31.982919861385493,0.08857138749579004,0.08804226018588615,0.15722643419618132
16,238.7983988694649,238.7983988694649,5.803603156940671,5.803043226742259,0.18900962015231365
17,35182.38964674058,35182.38964674058,5785.280468163941,5785.284110135163,1.9754403698600365
18,109.27475224361122,109.27475224361122,0.09074357039319174,0.09078883513217838,0.1582619852800449
19,665.1881002545226,665.1881002545226,9.106871286063834,9.10643461236127,0.2261861252572397
20,20.534687473487093,20.534687473487093,0.21729315550316033,0.21734285158532093,0.1578006248221056
21,2360.6528237565394,2360.6528237565394,0.6684863905296115,0.6689724162063873,0.16818194915190127
22,2192.7474988974122,2192.7474988974122,17.81149325209698,17.811280290437413,0.2981882087320295
23,26287.189012612227,26287.189012612227,2620.111781394837,2620.105418821333,1.0619524082934713
24,344.01798919425016,344.01798919425016,5.232798475210166,5.232885919671109,0.18497296344449587
25,615.0719661669314,615.0719661669314,0.6311554142027844,0.6315794206345917,0.1762908958318406
26,1083.470026287847,1083.470026287847,3.347031060537179,3.3468977816427286,0.28175682260616614
27,456.6228694475507,456.6228694475507,0.4045801486471964,0.40511401508427325,0.16537508590574138
28,5202.041958414655,5202.041958414655,17.035282821161925,17.035202711945185,0.33964243380644676
29,48.81199671163944,48.81199671163944,0.10746905680506154,0.10748109275083116,0.16309781157506764
